Symptom,CarDiagnoses,Description,inspectionList,childWebPageList.childWebPageList.childWebPageList.problemList,childWebPageList.childWebPageList.childWebPageList.childWebPageList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.val,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList,childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulls - Sharp movement to one side",Wheels out of Alignment,"A wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","['1) Check the vehicles tires, make sure they are the correct size and \xa0inflated to the correct and equal pressure. The recommmended PSI is stamped on the tire side wall. Inspect all the tires for abnormal wear, signs of the tire balding on the inside or outside edge are a sign that there could be an allignment issue.', ""2) Check the steering wheel, the wheel should be in the correct twelve O'clock position when driving in a straight line. If the wheel isn't you will want to have the vehicle alligned."", '3) Check the vehicle Toe, Toe in meaning the tires are pointing at each other; as if you where to literally point your toes in. Toe out, the tires are facing more away from each other; again literally pointing your toes out is the comparison. To check the toe use a tape measure and an assistant, with the steering wheel in the straight position. Measure the\xa0distance of the front tires from center to center of the tire tread on the leading edge and trailing edge of the tires. This should be equal. \xa0The vehicle toe is adjusted by the tie rods and must be equal on both sides.', '4) Test drive the vehicle, by driving on a straight level road. Try and feel if the vehicle is pulling it self to the left or right, sometimes it is more noticable when braking. Vibrations can also\xa0be caused when the vehicle is out of allignment.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulls - Sharp movement to one side",Unequal Front Tire Pressure,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","['1) Locate the tire ۪s valve stem and remove the valve stem cap.', '2) Using a tire pressure gauge, hold the gauge down on the valve stem to get the tire pressure reading. Perform this step for all tires on the vehicle.', '3) Compare the tire pressure reading you just got to the recommended tire pressure. This is located\xa0on the side\xa0wall of the tire. The tire pressure is measured in PSI or pounds per square inch. Look for the letters PSI on the tire. Owners manuals also give the tire pressure for the factory installed tires.\xa0Some manufacturers also put it on the\xa0manufacturers label located in the door jam of the drivers door, it gives the original factory wheel size, tire sizes, tire\xa0ratings, and tire pressure.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulls - Sharp movement to one side",Loose or Worn Front End Component,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","['1) Open\xa0the hood and locate the top of\xa0the\xa0suspension strut mounts/shock towers.', '2) Before starting any repairs, be\xa0sure \xa0the vehicle is in park.\xa0\xa0Have an assistant push down on the fender to simulate driving over bumps.', '3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage.', '4) Close\xa0the hood, then secure\xa0the vehicle on a level surface, making sure it\xa0 will not roll or lean when jacked up.', '5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owner ۪s manuals will have ride height specifications.\xa0 The left and right side measurements should be equal.', '6) Using a floor jack, lift the front of\xa0the vehicle.', '7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle.', '8) Inspect all suspension grease boots for damage and make sure the boots are full of grease.', '9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full.', '10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced.', '11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also be\xa0an option.', '12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage.', '13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage.\xa0Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end.', '14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment.', '15) Test drive the vehicle and verify if there is suspension noise.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulsation - Fluctuation of the brake pedal when the brakes are applied",Out-of-Round Brake Drums,"Out-of -round brake drums are often caused by extreme temperature changes during normal braking. An out-of-round drum may look okay to the naked eye, but it can cause gabbing, pulling, and pedal pulsations.","['1) Park\xa0the vehicle on a solid, level surface and chock the front wheels.', '2) Remove the rear wheel hub caps if applicable.\xa0Using a tire iron or lug nut wrench, break loose the rear wheel lug nuts but do not remove.', '3) Lift up the rear of the vehicle with a floor jack.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the lug nuts.\xa0Remove the rear wheels.', '6) If applicable, remove the brake drum retaining clips or screws.\xa0Make sure the parking brake is released and mark the drums for installation reference. Remove the brake drums\xa0from the hubs or axle flanges.\xa0', '7) Clean the brake shoes and drums\xa0with a water-based solution.\xa0Inspect the inside of the drum for grooves, scoring, and heat discoloration.\xa0', '8) Measure the inside diameter of the drum, at two locations,\xa0with a drum micrometer. The measurements should be equal and below the maximum diameter\xa0stamped on the drum.\xa0', '9) Next, carefully inspect the brake shoe linings for wear, heat cracks and fluid contamination. The\xa0condition\xa0of the\xa0linings can often reveal a problem with the brake drums, wheel cylinders, and axle seals.', '10) Inspect the brake hardware for damage.\xa0Check the wheel cylinders for\xa0leaking brake fluid.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulsation - Fluctuation of the brake pedal when the brakes are applied",Loose or Worn Wheel Bearing,"Wheel bearings can wear over time because of dirt, lack of lubrication, and improper adjustment. A loose or worn wheel bearing can cause noises and vibrations. It can also affect vehicle handling, braking, and tire wear.","['1) Secure the vehicle on a level surface.', '2) Jack up the vehicle. Every vehicle comes equipped with a jack from the factory. To locate and properly use this jack, see the vehicle owner ۪s manual.', '3) Secure the vehicle with\xa0jack stands on both sides for safety before starting any work. Do not rely on the jack\xa0to hold the vehicle up while working.', '4) Spin the tire assembly and\xa0listen for any grinding and rumbling noises. A normal wheel bearing should sound uniform as it spins.', ""5) Next, grab the tire at the\xa0twelve o'clock and six o'clock position.\xa0Try and\xa0wobble the tire and wheel\xa0back and forth.\xa0There should\xa0be very little\xa0play when doing this.\xa0If\xa0there is too much play,\xa0the wheel bearings\xa0could be\xa0worn or out of adjustment.""]",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Pulsation - Fluctuation of the brake pedal when the brakes are applied",Warped Brake Rotors,"A warped brake rotor can be caused by excessive heat or improper wheel lug nut torque. If you feel a pulsation or vibration in the brake pedal, check the rotors for runout and parallelism (thickness variation). Pedal pulsation is normal on vehicles with ABS when the ABS is working.","['1) \xa0Park the vehicle on a solid, level surface and chock the rear wheels.', '2) Remove the front wheel hub caps if necessary. Using a tire iron or lug nut wrench, loosen the front wheel lug nuts but do not\xa0remove.', '3) Lift the front of the vehicle\xa0with a floor jack.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds\xa0or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the lug nuts. Remove the\xa0front wheels.', ""6) After the wheels have been removed,\xa0inspect the brake rotors for scoring, grooves, and heat\xa0discoloration. Check the brake rotor thickness with a micrometer and the\xa0lateral run-out with a dial indicator. The brake rotor must meet the manufacturer's specifications."", '7) Inspect the brake pad thickness (1/8 inch minimum) and spin the rotor to check the wear indicator. If you hear a squealing sound, the indicator is contacting the rotor and the pads need replacing. If the pad thickness is okay, remove the calipers and inspect the pad surface for glazing and cracks.', '8) Inspect the brake calipers for binding, corrosion,\xa0and missing or damaged anti-rattle clips or\xa0shims. Inspect for brake fluid leaks at the calipers and brake hoses.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Sway - Gradual movement from side to side",Loose or Worn Suspension Parts,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","['1) Open\xa0the hood and locate the top of\xa0the\xa0suspension strut mounts/shock towers.', '2) Before starting any repairs, be\xa0sure \xa0the vehicle is in park.\xa0\xa0Have an assistant push down on the fender to simulate driving over bumps.', '3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage.', '4) Close\xa0the hood, then secure\xa0the vehicle on a level surface, making sure it\xa0 will not roll or lean when jacked up.', '5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owner ۪s manuals will have ride height specifications.\xa0 The left and right side measurements should be equal.', '6) Using a floor jack, lift the front of\xa0the vehicle.', '7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle.', '8) Inspect all suspension grease boots for damage and make sure the boots are full of grease.', '9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full.', '10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced.', '11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also be\xa0an option.', '12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage.', '13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage.\xa0Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end.', '14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment.', '15) Test drive the vehicle and verify if there is suspension noise.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Sway - Gradual movement from side to side",Worn Out Shocks/Struts,"Shocks control stability when driving and also reduce impact of the road to the rest of the vehicle. Bad shocks can add stress to other suspension parts. Shocks are the most important regular service item in your suspension, regular replacement of your vehicles shocks, because they do wear down over time, can keep other suspension components stronger longer.","['1) Perform\xa0a bounce test; using a helper is best, push down on the bumper quickly using a strong effort and release repeat this three times in a row.\xa0 If the vehicle free bounces more than 1 and a half times inbetween each push, then the shocks should be replaced. Also a sure sign of bad shocks is the vehicle bottoming out, or floating over bumps. Test drive the vehicle over some speed bumps. If the front or rear feel like they are dropping to hard after crossing the speed bump or the vehicle continues to bounce or ""float"" for a few seconds then its time to replace the shocks.', '2) Make sure the vehicle is parked on a solid level surface.', '3) Using a floor jack, raise up the vehicle.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '5) Locate the shock absorbers, inspect them for fluid leaking down the shock. Inspect the upper and lower mounts, the shock should be firmly in place. If the rubber appears to be loose or or damaged the shocks should be replaced.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Shimmy - Rapid side to side movement of the front wheels",Loose or Worn Wheel Bearing,"Wheel bearings can wear over time because of dirt, lack of lubrication, and improper adjustment. A loose or worn wheel bearing can cause noises and vibrations. It can also affect vehicle handling, braking, and tire wear.","['1) Secure the vehicle on a level surface.', '2) Jack up the vehicle. Every vehicle comes equipped with a jack from the factory. To locate and properly use this jack, see the vehicle owner ۪s manual.', '3) Secure the vehicle with\xa0jack stands on both sides for safety before starting any work. Do not rely on the jack\xa0to hold the vehicle up while working.', '4) Spin the tire assembly and\xa0listen for any grinding and rumbling noises. A normal wheel bearing should sound uniform as it spins.', ""5) Next, grab the tire at the\xa0twelve o'clock and six o'clock position.\xa0Try and\xa0wobble the tire and wheel\xa0back and forth.\xa0There should\xa0be very little\xa0play when doing this.\xa0If\xa0there is too much play,\xa0the wheel bearings\xa0could be\xa0worn or out of adjustment.""]",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Feel - I feel it (i.e. hesitation, shimmy, vibration, or a pull). What do you feel? Shimmy - Rapid side to side movement of the front wheels",Loose or Worn Front End Component,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","['1) Open\xa0the hood and locate the top of\xa0the\xa0suspension strut mounts/shock towers.', '2) Before starting any repairs, be\xa0sure \xa0the vehicle is in park.\xa0\xa0Have an assistant push down on the fender to simulate driving over bumps.', '3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage.', '4) Close\xa0the hood, then secure\xa0the vehicle on a level surface, making sure it\xa0 will not roll or lean when jacked up.', '5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owner ۪s manuals will have ride height specifications.\xa0 The left and right side measurements should be equal.', '6) Using a floor jack, lift the front of\xa0the vehicle.', '7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle.', '8) Inspect all suspension grease boots for damage and make sure the boots are full of grease.', '9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full.', '10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced.', '11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also be\xa0an option.', '12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage.', '13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage.\xa0Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end.', '14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment.', '15) Test drive the vehicle and verify if there is suspension noise.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The engine cranks over slowly",Corroded Battery Terminals,"A leaking battery, normal wear and over- tightening can all cause damage to the battery terminals.","['1) Open the vehicle ۪s hood.', '2) Locate and inspect battery terminal.', '3) Inspect for corrosion, rust, cracks and damage.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The engine cranks over slowly",Bad Starter,The starter is a high torque electrical motor that is attached to the rear of the engine. It is used to crank the engine until it can operate on its own power.,"['1) Open the vehicle ۪s hood and locate the starter. If it is easier to see and touch the starter from the bottom, you will need to secure your vehicle on jack stands to inspect the starter ۪s condition.', '2) Ask an assistant to attempt to start the vehicle (hopefully in this case you are now hearing the spinning noise and the vehicle not starting). While you are under the vehicle, knock the rubber mallet hammer on the starter housing.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The engine cranks over slowly",Weak Battery,The cause for replacement may be normal wear. Batteries should last 3 to 5 years under normal use. ,"['1) Open your hood and locate your battery.', '2) Using your digital multi meter, test the battery voltage. A fully charged battery should be around 12.6 volts DC.', '3) If the battery voltage is ok, perform a 30 second load test by turning on all electrical components in the vehicle. The battery should not go below 9.6 volts during the load test.', '4) If the battery voltage is less than 12 volts, charge the battery and perform a load test.']",,,,,,
"If you're not sure what the problem is, start by describing the symptoms: Ugh! - It won't start. What happens when you try to start the vehicle? The engine cranks normally but does not start",Bad Timing Chain/Belt,Timing chains are subjected to normal wear and tear over the life of the vehicle. The constant wear and tear will stretch the timing chain and wear the teeth of the timing gears. This includes the seals as well.,"['1) Open the hood and locate your valve cover.', '2) Remove the valve cover.', '3) Using a ratchet turn the crankshaft clockwise.']",,,,,,
