childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList.description,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList.inspectionList
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)","Squeal - Continuous, high pitched sound",When do you hear the squeal?,Only when the vehicle is moving,Brake Pad Wear Indicator is Contacting Rotor,"The brake pad wear indicator is a metal tab attached to the brake pad. When enough of the friction material is worn away, the wear indicator will contact the rotor and make a squealing sound.","1) Park the vehicle on a solid, level surface and chock the rear wheels. 2) Remove the front wheel hub caps if necessary. Using a tire iron or lug nut wrench, loosen the front wheel lug nuts but do notremove. 3) Lift the front of the vehiclewith a floor jack. 4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch weldsor the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working. 5) Remove the lug nuts. Remove thefront wheels.', ""6) After the wheels have been removed,inspect the brake rotors for scoring, grooves, and heatdiscoloration. Check the brake rotor thickness with a micrometer and thelateral run-out with a dial indicator. The brake rotor must meet the manufacturer's specifications.  7) Inspect the brake pad thickness (1/8 inch minimum) and spin the rotor to check the wear indicator. If you hear a squealing sound, the indicator is contacting the rotor and the pads need replacing. If the pad thickness is okay, remove the calipers and inspect the pad surface for glazing and cracks. 8) Inspect the brake calipers for binding, corrosion,and missing or damaged anti-rattle clips orshims. Inspect for brake fluid leaks at the calipers and brake hoses.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)","Squeal - Continuous, high pitched sound",When do you hear the squeal?,Only when I start the vehicle.,Loose or Worn Drive Belt,"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.","1) Open the vehicles hood and locate the vehicles serpentine belt. 2) Inspect the ribs onthe serpentine belt.Check for cracks in the rubber, fraying, or chips to the belt. Look forsigns offluids that may have spilled on the belt. 3) Check the belt tension by pushing down in the middle of a section of the belt. It should not move more than a half inch. Look at the smooth side of the belt if it looks glazed, like it has a shine to it, the belt is probably loose and slipping on the pulleys.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)",Clunk - A random thumping soun,When do you hear the clunk?,When putting the vehicle into gear,Worn or Damaged Universal Joints,"Lack of lubrication, damage to the driveline, and normal wear and tear can cause u-joints to go bad.","1) Make sure the vehicle is parked on a solid level surface to ensure that it does not roll or lean when raised. 2) Using a floor jack, raise the vehicle. 3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working. 4) From underneath the vehicle, rotate the driveshaft by hand.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)",Clunk - A random thumping soun,When do you hear the clunk?,When putting the vehicle into gear,Axle Assembly Failure,"A lack of grease between the CV joint will cause a knocking noise because of the metal on metal rotation, the pressure on the joint while turning, and the movement up and down with road vibrations.","1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up. 2) Use a jack to lift up the vehicle. 3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working. 4) Remove the wheels by loosening and pulling off the lugs nuts that are holding the rims on. Find the correct size socket and large ratchet or tire iron and turn them counter clockwise. The lug nuts are the capped bolts that round the center of the wheel holding the rim to the hub. 5) Visually inspect the components behind your wheel to see if there are any signs of grease leaking. A few areas to check would be the brake caliper, the ball joints, and the CV joints and boots. Be sure to check both sides of the vehicle along with the front and rear to find the exact cause or causes for the noise.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)",Clunk - A random thumping soun,When do you hear the clunk?,When putting the vehicle into gear,Worn Engine Mounts,"Engine mounts are subject to normal wear; however, excessive torque and movement between the engine block and frame can prematurely weaken them. If one engine mount is bad, it is common for the other to be worn. Replacing both at the same time is strongly recommended.","1) Start the engine and locate the engine mounts. 2) Have an assistant in the vehicle, apply the parking brake, press the brake pedal with your left foot, shift the transmission into gear and lightly apply pressure onto the gas pedal. 3) When torque is applied to the engine while in gear, visually inspect the engine mounts. Look for excessive movement in the engine mounts and listen for a knocking noise when engine torque is released. Engine mounts are designed to absorb vibration during normal engine operation.Worn engine mounts will allow the engine to shift excessively creating vibration and noise.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)","Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When the engine is running,Loose or Worn Drive Belt,"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.","1) Open the vehicles hood and locate the vehicles serpentine belt. 2) Inspect the ribs onthe serpentine belt.Check for cracks in the rubber, fraying, or chips to the belt. Look forsigns offluids that may have spilled on the belt. 3) Check the belt tension by pushing down in the middle of a section of the belt. It should not move more than a half inch. Look at the smooth side of the belt if it looks glazed, like it has a shine to it, the belt is probably loose and slipping on the pulleys.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)","Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When I start the car.,Loose or Worn Drive Belt,"A serpentine belt is a rubber belt that is driven by pulleys connected to the engine, the belt then runs motors and pumps that are necessary to help keep your vehicle running. When your serpentine belt begins to make noise or is noticebly worn or damaged, its time to replace it. A bad serpentine belt can cause your vehicle to stall, steering to tighten up, and even overheat your vehicle.","1) Open the vehicles hood and locate the vehicles serpentine belt. 2) Inspect the ribs onthe serpentine belt.Check for cracks in the rubber, fraying, or chips to the belt. Look forsigns offluids that may have spilled on the belt. 3) Check the belt tension by pushing down in the middle of a section of the belt. It should not move more than a half inch. Look at the smooth side of the belt if it looks glazed, like it has a shine to it, the belt is probably loose and slipping on the pulleys.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)","Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When stopping,Brake Pad Quality and Rotor Finish,"Replacing the pads and resurfacing the rotors are usually necessary to fix the annoying brake squeals. Brake squeals are caused by high frequency vibrations. The design of the brake pads, the pad surface, and the rotor finish can cause vibrations.","1) Park the vehicle on a solid, level surface and chock the rear wheels. 2) Remove the front wheel hub caps if necessary. Using a tire iron or lug nut wrench, loosen the front wheel lug nuts but do notremove. 3) Lift the front of the vehiclewith a floor jack. 4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch weldsor the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working. 5) Remove the lug nuts. Remove thefront wheels.', ""6) After the wheels have been removed,inspect the brake rotors for scoring, grooves, and heatdiscoloration. Check the brake rotor thickness with a micrometer and thelateral run-out with a dial indicator. The brake rotor must meet the manufacturer's specifications.  7) Inspect the brake pad thickness (1/8 inch minimum) and spin the rotor to check the wear indicator. If you hear a squealing sound, the indicator is contacting the rotor and the pads need replacing. If the pad thickness is okay, remove the calipers and inspect the pad surface for glazing and cracks. 8) Inspect the brake calipers for binding, corrosion,and missing or damaged anti-rattle clips orshims. Inspect for brake fluid leaks at the calipers and brake hoses.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)","Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When stopping,Worn Brake Pads,A grinding noise occurs when the brake pad lining wears and the metal backing is contacting the brake disc (rotor).,"1) Park the vehicle on a solid, level surface and chock the rear wheels. 2) Remove the front wheel hub caps if necessary. Using a tire iron or lug nut wrench, loosen the front wheel lug nuts but do notremove. 3) Lift the front of the vehiclewith a floor jack. 4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch weldsor the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working. 5) Remove the lug nuts. Remove thefront wheels.', ""6) After the wheels have been removed,inspect the brake rotors for scoring, grooves, and heatdiscoloration. Check the brake rotor thickness with a micrometer and thelateral run-out with a dial indicator. The brake rotor must meet the manufacturer's specifications.  7) Inspect the brake pad thickness (1/8 inch minimum) and spin the rotor to check the wear indicator. If you hear a squealing sound, the indicator is contacting the rotor and the pads need replacing. If the pad thickness is okay, remove the calipers and inspect the pad surface for glazing and cracks. 8) Inspect the brake calipers for binding, corrosion,and missing or damaged anti-rattle clips orshims. Inspect for brake fluid leaks at the calipers and brake hoses.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)","Chirp - High pitched rapidly repeating sound, like birds chirping",When do you hear the chirp?,When stopping,Brake Pad Wear Indicator is Contacting Rotor,"The brake pad wear indicator is a metal tab attached to the brake pad. When enough of the friction material is worn away, the wear indicator will contact the rotor and make a squealing sound.","1) Park the vehicle on a solid, level surface and chock the rear wheels. 2) Remove the front wheel hub caps if necessary. Using a tire iron or lug nut wrench, loosen the front wheel lug nuts but do notremove. 3) Lift the front of the vehiclewith a floor jack. 4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch weldsor the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working. 5) Remove the lug nuts. Remove thefront wheels.', ""6) After the wheels have been removed,inspect the brake rotors for scoring, grooves, and heatdiscoloration. Check the brake rotor thickness with a micrometer and thelateral run-out with a dial indicator. The brake rotor must meet the manufacturer's specifications.  7) Inspect the brake pad thickness (1/8 inch minimum) and spin the rotor to check the wear indicator. If you hear a squealing sound, the indicator is contacting the rotor and the pads need replacing. If the pad thickness is okay, remove the calipers and inspect the pad surface for glazing and cracks. 8) Inspect the brake calipers for binding, corrosion,and missing or damaged anti-rattle clips orshims. Inspect for brake fluid leaks at the calipers and brake hoses.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)",Rattle - Marbles in a can like something loose,Where do you hear the rattle?,Engine Compartment,Damaged or Loose Front Pipe,"Your vehicles exhaust system helps lower toxins and greenhouse gases that get released into the atmosphere. A loose or damaged exhaust should be taken care of immediately, exhaust gases can find there way into the vehicles cabin and are bad for your health.","1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean when jacked up. 2) Using a jack, lift up the vehicle. Every vehicle comes from the factory with a jack. To locate and properly use this jack see the owners manual. The owners manual will inform you what proper jacking locations should be used. 3) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack alone to hold the vehicle up while working. 4) Locate the front exhaust pipe, it is the first length of pipefrom the engine.Sometimesthis is thelength of pipe before the catalytic converter.On other manufacturers this is the intermediary pipe which is between the catalytic converter and the muffler. Check the pipe for corrosion holes, and damage.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)",Rattle - Marbles in a can like something loose,Where do you hear the rattle?,Engine Compartment,Bad Timing Chain/Belt,Timing chains are subjected to normal wear and tear over the life of the vehicle. The constant wear and tear will stretch the timing chain and wear the teeth of the timing gears. This includes the seals as well.,1) Open the hood and locate your valve cover. 2) Remove the valve cover. 3) Using a ratchet turn the crankshaft clockwise.']
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)",Rattle - Marbles in a can like something loose,Where do you hear the rattle?,Under the vehicle,Loose or Damaged Exhaust,"Your vehicles exhaust system helps lower toxins and greenhouse gases that get released into the atmosphere. A loose or damaged exhaust should be taken care of immediately, exhaust gases can find there way into the vehicles cabin and are bad for your health.","1) Park the vehicle on a solid level surface. Chock the front tires. Jack up the rear of the vehicle andsupport it with jack stands. 2) Visually inspect the exhaust system from the catalytic converter to the tail pipe. Look for damaged pipes, heavy rust, and loose clamps. 3) Check theheat shields. These aremetal covers used to protect other parts of the vehicle from the exhaust heat. They can rust or become loose over time and cause noise. 4) Using a rubber mallet tap the different sections of the exhaust, listen for any internal rattling at the mufflers or pipes. 5) Check the rubber exhausthangers for tears and themetal hangers for rust and damage.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)",Rattle - Marbles in a can like something loose,Where do you hear the rattle?,Under the vehicle,Catalytic Converter Failure,"Exrtreme heat, under-tuned engine, and normal wear will cause the inside of the converter to break down and fall apart. Replacement is recommended.","1) Begin the inspection by raising the vehicle high enough to gain full access underneath the exhaust system.Use a floor Jack andsecure the vehicle on Jack stands. 2) After safely and securely raising the vehicle, locate the catalytic converter. The catalytic converter is commonly found inline with the exhaust system pipes. Itresembles a muffler in appearance, but found before the muffler assmbly and after the exhaust manifold. 3) Tap the catalytic converter with a rubber mallet andlisten closelyfor abnormal sounds. Ifrattling noises are heard similar to small rocks shaking inside the converter, then replace the converter immediately.']"
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)",Rattle - Marbles in a can like something loose,Where do you hear the rattle?,Under the rear of the vehicle,Tail Pipe (Loose/Damaged),Typically the exhaust tail pipes will become damaged from being scrapped on the ground or backed into another object. It is a part that hangs low causing it to be one of the first vehicle components that becomes damaged when backing up into a curb or hitting a bump which causes the vehicle to bounce and scrape on the ground. Tail pipes can also rust and wear out over time.,1) Locate the tail pipe. 2) Inspect the tail pipe and exhaust system for damage and wearing. Look for holes and make sure the tail pipe is connected to the muffler.']
"Hear - I hear it (i.e. a rattle, a knock, or a squeal)",Rattle - Marbles in a can like something loose,Where do you hear the rattle?,Under the rear of the vehicle,Muffler (Damage/Loose),"A muffler is a regular service item, the muffler is designed to break down and trap pollutants from the vehicle emissions. Over time the muffler corrodes and Neglecting to change your muffler can result in the vehicle not passing emissions standards, and releasing destructive green house gases into the atmosphere.","1) Check for visual sign of damage or rusted piecesto the muffler, check for holes in the exhaust and muffler these will make the exhaust louder. If any of these are present you will want to replace the muffler. 2) To check for a clogged exhaust system open the vehicle hood and locate the intake vacuum lines. Attach a vacuum gauge to the line. Next start the vehicle, At engine idle record the vacuum reading from the vacuum gauge. 3) Accelerate the engine to 3000 rpm, hold and record the reading from the vacuum gauge. 4) The second reading should be higher. 5) If the vacuum reading drops 2 or more units, the catalytic converter or muffler are restricted.']"
"See - I see it (i.e. oil leak, warning light, or smoke)",Smoke,Where is the smoke coming from?,Engine Compartment,Coolant Leak (smoke),"The Radiator will leak after normal wear; however, failure may result if coolant is left unserviced, collision damage, or having the vehicle overheat. To prolong the life of the radiator, perform periodic maintenace on the coolant system.","1) Open the hood and locate the radiator. The radiator is commonly found and mounted to the front of the engine compartment behind the front grille. Depending on the vehicle, a cap is visible on the top of the radiator assembly on either the left or right side. 2) After locating the radiator, locate the radiator cap. Open the radiator cap, be sure the vehicle is cold before opening the cap to avoid personal injury. 3) Use a radiator pressure tester tool, and install the tool over the radiator cap opening. Use the tool to test the radiator pressure. If the readings indicate a low/dropping reading, replace the radiator. 4) Check the radiator cap, and inspect for proper pressure. If the cap fails the pressure test, replace the radiator cap. 5) Inspect the radiator and check for leaks during pressure testing. 6) If the radiator checks fine, proceed to inspect the engine block and the radiator hoses, coolant hoses and all areas of the cooling system. These areas include the coolant reservoir, heater core hoses, water pump and thermostat.']"
"See - I see it (i.e. oil leak, warning light, or smoke)",Puddle or leak,Use the definitions to help determine what type of fluid is leaking,Automatic transmission fluid - Red-pinkish to redish-brown in colo,Transmission Pan Gasket Leaking,"Transmission fluid like all other fluids needs to be replaced periodically. Fluid will be become dirty and begin to lose its consistency. It is recommended to replace the transmission fluid every 30,000 miles or check with the manufacturers recommended service interval."," 1) Open the hood and locate the transmission fluid level dipstick. The transmission fluid dipstick is commonly found in the engine compartment directly above or near the location of the transmission. Some European model vehicles do not have a transmission fluid dipstick; consult the owner's manual for theexact location, if necessary.  2) Once the transmission fluid dipstick islocated, check the level of transmission fluid. To obtain an accurate level measurement,make surethe vehicle is running with the engine warm. 3) Check the color of the transmission fluid. Clean fluid will have a bright red tint. If the fluid is dark or appears dirty, it is highly recommended to have it replaced immediately. 4) Raise the vehicle and locate the transmission assembly. Raise the vehicle enough to have clear view of the entire transmission and inspect it for leaks. Most transmission havea fluid pan at the bottom, inpect the edges of the pan for leaksmake surethe gasketappears ingood condition. 5) Inspect the transmission fluid lines leading to the transmission assembly. The transmission fluid lines extend from the transmission to the front of the vehicle. The transmission fluid lines are located underneath the vehicle and lead to the bottom of the radiator. 6) Once the inspection is complete, if necessary, add transmission fluid until the proper level is reached. Use the correct type transmission fluid otherwise using wrong fluid types may causeinternal damage to the transmission.']"
"See - I see it (i.e. oil leak, warning light, or smoke)",Puddle or leak,Use the definitions to help determine what type of fluid is leaking,Automatic transmission fluid - Red-pinkish to redish-brown in colo,Transmission Lines leaking,Metal transmission cooler lines can become loose at the radiator fittings due to vibration. Rubber hoses that clamp to the radiator can become cracked from heat and cause leaks.,"1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up. 2) Use a jack to raise the front of the vehicle. 3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working. 4) Locate the transmission cooler hard lines that run into the radiator and inspect them for leaks.']"
"See - I see it (i.e. oil leak, warning light, or smoke)",Puddle or leak,Use the definitions to help determine what type of fluid is leaking,Engine Oil - Brown to blackish in colo,Leaking Valve Covers,Valve cover gaskets may begin to leak from normal wear and overheating of the engine. Most are constructed of rubber and others are cork. Excessive heating and cooling will eventually harden the materials and make them crack. Oil pressure and oil flow will leak out through small cracks that develop. Oil can also leak into the spark plugs causing the engine to misfire.,"1) Open the hood and locate the engine. 2) Inspect around the valve covers, oil pan, intake manifold, oil filter and drain plug for signs of leaking engine oil. 3) If you are unable to identify where the oil is leaking from by a visual inspection, spray a can of brake cleaner around the dirty spots of the engine block. Spray along the wall of the block, around the valve cover gasket, the oil dipstick, the oil filter, the oil pump seal and where the engine mounts to the transmission are located. 4) After the block and components are sprayed clean, start the engine to identify additional leaks.']"
"See - I see it (i.e. oil leak, warning light, or smoke)",Puddle or leak,Use the definitions to help determine what type of fluid is leaking,Engine Oil - Brown to blackish in colo,Leaking Oil Filter,"The most common cause of a leaking oil filter is improper installation. If you recently had an oil change and you notice an oil leak most likely one of the following has occured; filter not tightened properly, pan plug not tightened properly, or oil was spilled onto the engine and is slowing dripping off. Make sure you always take care of oil leaks immediately. Watch your warning lights if the low oil light comes on make sure to add oil immediately.","1) Park the vehicle on a solid level surface. Chock the rear tires. Jack up the front of the vehicle and support it with jack stands. 2) Locate the oil filter. Visually inspect for oil on the filter, and damage to the filter. 3) Make sure the vehicle is cool before touching any parts of the engine. Using a rag or an oil filter wrench check to see if the filter is loose. If you are able to turn the filter by hand it is loose and needs to be tightened. If the filter is tight and is leaking oil then the oil filter gasket is most likely damaged.']"
"See - I see it (i.e. oil leak, warning light, or smoke)",Puddle or leak,Use the definitions to help determine what type of fluid is leaking,Engine Oil - Brown to blackish in colo,Leaking Oil Pan Gasket,Normal wear causes oil pan gaskets to leak.,1) Position vehicle safely on ramps or jack stands (level surface with rear wheels chalked). 2) Locate the oil pan which is located directly underneath the engine block. 3) Clean the engine block surface where the oil pan meets the engine. 4) Run the engine for 5 minutes to check for leaks from the gasket.']
"See - I see it (i.e. oil leak, warning light, or smoke)",Puddle or leak,Use the definitions to help determine what type of fluid is leaking,"Coolant - Has a watery consistancy, can be green or orange in color; depending on the vehicle",Radiator and Cap Leak,"The Radiator will leak after normal wear; however, failure may result if coolant is left unserviced, collision damage, or having the vehicle overheat. To prolong the life of the radiator, perform periodic maintenace on the coolant system.","1) Open the hood and locate the radiator. The radiator is commonly found and mountedto the front of the engine compartment behind the front grille. Depending on the vehicle, a cap is visible on the top of the radiator assembly on either the left or right side. 2) After locating the radiator, locate the radiator cap. Open the radiator cap, be sure the vehicle is cold before opening the cap to avoid personal injury. 3) Use a radiator pressure tester tool, and install the tool over the radiator cap opening. Use the tool to test the radiator pressure. If the readingsindicate a low/dropping reading, replace the radiator. 4) Check the radiator cap, and inspect for proper pressure. If the cap fails the pressure test, replace the radiator cap. 5) Inspect the radiator and check for leaks during pressure testing. 6) If the radiator checks fine, proceed to inspect the engine block and the radiator hoses, coolant hoses and all areas of the cooling system. These areas include the coolant reservoir, heater core hoses, water pump and thermostat.']"
"See - I see it (i.e. oil leak, warning light, or smoke)",Puddle or leak,Use the definitions to help determine what type of fluid is leaking,"Coolant - Has a watery consistancy, can be green or orange in color; depending on the vehicle",Upper or Lower Radiator Hose Leak,"The constant wear and tear from heating and cooling will cause the upper and lower radiator hoses to become brittle, crack and leak under pressure.","1) Open the hood and locate the radiator. The radiator is commonly found and mounted to the front of the engine compartment behind the front grille. Depending on the vehicle, a cap is visible on the top of the radiator assembly on either the left or right side. 2) After locating the radiator, locate the radiator cap. Open the radiator cap, be sure the vehicle is cold before opening the cap to avoid personal injury. 3) Use a radiator pressure tester tool, and install the tool over the radiator cap opening. Use the tool to test the radiator pressure. If the readings indicate a low/dropping values, replace the radiator. 4) Locate the upper and lower radiator hoses. The upper and lower radiatorhoses arecommonly found at the front of the vehicle andare attached to the radiator leading into the engine block. 5) Inpsect the hoses for cracks, holes and leaks. Inpsect around the edges where each hoses are attached. Check for leaks around the hose clamps or worn out clamps.']"
"See - I see it (i.e. oil leak, warning light, or smoke)",Puddle or leak,Use the definitions to help determine what type of fluid is leaking,"Coolant - Has a watery consistancy, can be green or orange in color; depending on the vehicle",Water Pump Leak,"Wear and tear from heating and cooling will cause the cooling system to develop failing components and eventually leak. A damaged water pump gasket, bearing and seal will contribute to failed water pump.","1) Open the hood and locate the water pump. The water pump varies in location and will depend on the vehicle engine type. Most water pumps are found at the front of the block. Some water pumps are pulley driven or may be internal which will require removal of the timing belt/ chain, and covers to gain access. 2) Open the hood and locate the radiator. The radiator is commonly found and mounted to the front of the engine compartment behind the front grille. Depending on the vehicle, a cap is visible on the top of the radiator assembly on either the left or right side. 3) After locating the radiator, locate the radiator cap. Open the radiator cap, be sure the vehicle is cold before opening the cap to avoid personal injury. 4) Use a radiator pressure tester tool, and install the tool over the radiator cap opening. Use the tool to test the radiator pressure. If the readings indicate a low/dropping reading, replace the radiator. 5) Check the radiator cap, and inspect for proper pressure. If the cap fails the pressure test, replace the radiator cap. 6) Inspect the radiator and check for leaks during pressure testing. 7) If the radiator checks fine, proceed to inspect the engine block and the radiator hoses, coolant hoses and all areas of the cooling system. These areas include the coolant reservoir, heater core hoses, water pump and thermostat. ']"
"See - I see it (i.e. oil leak, warning light, or smoke)",Puddle or leak,Use the definitions to help determine what type of fluid is leaking,Power steering fluid - Red or pinkish to light brown in colo,Power Steering Hose Leak,Power steering hoses can fail and start leaking from normal wear.,1) Open the hood and locate the power steering pump. Refer to vehicle owners manual for the specific location. 2) Check power steering fluid level. 3) Locate power steering hoses.']
"See - I see it (i.e. oil leak, warning light, or smoke)",Warning light is on,Which warning light is on?,Check Engine Light,Check Engine Light (Fault Codes),The check engine light will illuminate when the on-board computer detects a problem in a system that it monitors. A diagnostic trouble code is stored in the memory and accessed through a data link connector.,"1) Verify that the check engine light is on while the vehicle is running.', ""2) Turn off the engine and locate thedata link connector (DLC). For OBD-2, the 16 pin DLC is usually found underneath the driver's side dash, eitheron the left or right sideof the steering column.  3) Plug the code reader/diagnostic scan tool into the DLC and turn on the ignition. Do not start the engine. 4) Write down all thediagnostic trouble codes (DTC) displayed on the screen. A definition of the trouble code may be displayed depending on the code reader.']"
"See - I see it (i.e. oil leak, warning light, or smoke)",Warning light is on,Which warning light is on?,"Check Engine Light on with code P0382 or, P0400-P0408",Check Engine Light On (EGR Valve),"Check engine light codes can represent failures from multiple parts of the vehicle. Some codes may represent 1 component of your vehicle, but may really be masking a hidden problem that is shown through other components. Because of this complexity, we strongly recommend having a certified technician inspect your vehicle for what needs to be repaired. After being told what needs to be repaired you can then proceed to repair the problem yourself.","1) Refer to your vehicles owners manual for the specific location of your OBDI or OBDII connection. 2) Turn your key to the “ON” position so that the scanner can receive the code(s). 3) Plug your scan tool into the OBD connection, turn on the scan tool and select the appropriate steps to read the code. P-codes between P0400-P0408 are generic trouble codes for the EGR system. 4) To test the EGR valve, remove the vacuum hose from the EGR and apply vacuum manually. You are looking for a drop in the idle, most engines will stall if you fully open the EGR valve while idling.']"
Tires & Wheels,Wheels,What type of problem are you having with your wheels?,Wheel feels loose or wobbles while driving,Wheel Lug Nuts (Loose),"Wheel Lug nuts and studs are a very important part of a vehicle, they hold the wheels on. Whenever the wheels are removed it is important for safety and ride that the lug nuts are torqued back to the right specifications. Many technicians use just there drive air gun when tightening wheels, while it can tighten the lug nuts down fast it can also over tighten them making it extremely difficult to remove the lug nuts the next time. There is nothing worse than having a flat tire and not being able to remove the wheel to put your spare on. The reverse is also true, while air powered or electric powered tools are strong they can lose power, if the air pressure or battery power are too low for the tool it may not tighten the lug nuts enough. This is why lug nut torque should always be checked by hand. It is a good idea to ask the technicians to check your wheel torque by hand whenever you have work done to your vehicle.","1) Wheel Lug nuts are responsible for holding your wheels to the vehicle. On some vehicles the lugs nuts are exposed and easy to get to. Some wheels may have a hub cap or center rim cap that cover the lug nuts, Using a flat head pop off the hub cap or rim center cap. 2) The wheel lug nuts should be tight on the wheel and the wheel should be flat against the hub. Make sure all the lug nuts are accounted for, and for obvious damage. Check the lug nuts by trying to turn them by hand if you are able to twist any of them at all then the lug nuts are loose and you will want to further inspect to find out why the lug nuts are loose, and make the necessary repairs. If all of the lug nuts seem tight to the touch, try using your factory tire iron, itis located with the vehicles jack, check the owners manual for location. Then using the tire iron turn the lug nuts clock wise, they should be tight, if you have little trouble turning any of the lug nuts one quarter tohalf of a full rotation then you should check all of the wheels for safetyto make sure theyare on correctly.']"
Tires & Wheels,Wheels,What type of problem are you having with your wheels?,Wheel feels loose or wobbles while driving,Wheel Bearing Failure,"Wheel bearings can wear over time because of dirt, lack of lubrication, and improper adjustment. A loose or worn wheel bearing can cause noises and vibrations. It can also affect vehicle handling, braking, and tire wear.","1) Secure the vehicle on a level surface. 2) Jack up the vehicle. Every vehicle comes equipped with a jack from the factory. To locate and properly use this jack, see the vehicle owners manual. 3) Secure the vehicle withjack stands on both sides for safety before starting any work. Do not rely on the jackto hold the vehicle up while working. 4) Spin the tire assembly andlisten for any grinding and rumbling noises. A normal wheel bearing should sound uniform as it spins.', ""5) Next, grab the tire at thetwelve o'clock and six o'clock position.Try andwobble the tire and wheelback and forth.There shouldbe very littleplay when doing this.Ifthere is too much play,the wheel bearingscould beworn or out of adjustment.""]"
