Symptom 1,Symptom 2,Symptom 3,car_problem
The Engine Idle fluctuates,,,Check Engine Light or Check Ignition Coil for Spark or Clogged Air Filter
The Engine Idle drops and almost dies,,,Check Engine Light On (Idle Control Valve)
The Engine High Idle,,,Faulty fuel filter or Check Engine Light or Vacuum leaks
The Engine Hesitation,,,Clogged Air Filter or Check Engine Light or Faulty fuel filter
The Engine Rough running engine,,,Check Ignition Coil for Spark or Fuel system cleaning or Check Engine Light
The Engine Carburetor engine stalling and running rough at low RPM,,,Bad Carburetor
The Engine Rough idle,,,Rough Idle (Throttle Body)
The Engine Stalling,,,Check Ignition Coil for Spark or Fuel pump replacement or Check Engine Light
The Engine Ignition misfire,,,Engine Tune-up or Fouled Spark Plug or Faulty Coil Over Plug
The Brakes I have a hard brake pedal.,,,Vacuum leaks or Brake Booster Failure
The Brakes My brakes pull.,,,Binding Brake Caliper or Loose or Worn Suspension Parts or Uneven Tire Pressure or Contaminated Brake Linings
The Brakes My brakes are grinding.,,,Worn Rear Brakes or Worn Front Brakes
The Brakes My brakes are squealing.,,,Brake Pad Quality and Rotor Finish or Worn Brake Pads or Brake Pad Wear Indicator is Contacting Rotor
The Brakes My ABS light is on.,,,ABS System Fault
The Brakes My brake warning light is on.,,,Parking Brake Lever Engaged or Faulty Parking Brake Switch or Low Brake Fluid
The Brakes I have a spongy or low brake pedal.,,,Brake Master Cylinder Internal Leak. or Brakes not Adjusted or Air in Brake Hydraulic System
The Brakes I have a pulsating brake pedal.,,,Out-of-Round Brake Drums or Loose or Worn Wheel Bearing or Warped Brake Rotors
The Upholstery Damaged carpet,,,Interior Floor Carpet (Damage)
The Upholstery Seat belt not reatracting properly,,,Seat Belt Malfunction
The Upholstery Damaged dashboard,,,Damaged Dashboard
The Upholstery Power outlet does not work,,,Blown Fuse
The Upholstery Power seats not working,,,Power Seat Switch Failure or Blown Fuse or Bad power seat motor
The Upholstery Seat belt not locking,,,Seat Belt Malfunction
Heating No hot air when heat is on,,,Clogged Heater Core or Bad Thermostat or Bad Heater Control Valve
Heating No cold air when A/C is on,,,No Cold Air A/C Line/Hose or No Cold Air A/C Condenser or No Cold Air A/C Compressor
"Heating The fan speeds are not working properly e.g., High works but the other speeds do not.",,,Blower Resistor Malfunction
The Upholstery Rear defroster is not working,,,Link Defroster grid or Blown Fuse
Heating Windshield fogs up with the defroster setting on,,,Leaking heater core
Steering My vehicle pulls,,,Dragging Front Brake
Steering My steering wheel shakes,,,Tires/Wheels Out of Balance or Damaged. or Worn Wheel Hub Assembly or Loose or Worn Front End Component
Steering My steering wheel is hard to turn,,,Power Steering Drive Belt (Damage/Loose) or Low Power Steering Fluid or Faulty power steering pump
Steering My vehicle drifts,,,Uneven Tire Pressure or Wheels out of Alignment or Loose or Worn Front End Component
Steering I hear a clunking sound when turning,,,"Worn or ""dry"" ball joint or Axle Assembly Failure or Loose/Worn Tie Rod Ends"
Steering I hear a squealing sound when turning the wheel,,,Power Steering Drive Belt (Damage/Loose) or Low Power Steering Fluid or Faulty power steering pump
Steering My vehicle bounces excessively over bumps,,,Worn Shocks Absorbers or Worn Struts
Steering My vehicle bottoms out over bumps,,,Worn leaf springs or Worn coil springs or Worn Shocks Absorbers or Worn Struts
Check Battery Charge Warning Light,,,Faulty Alternator or Serpentine belt slipping/damaged
Check Check Engine Light,,,Check Engine Light (Fault Codes)
Check Oil Pressure Warning Light,,,Faulty oil pressure sensor or Worn oil pump or Low Engine Oil
