Symptom,Car Problem
"If you're not sure what the problem is, start by describing the symptoms: Hear - I hear it (i.e. a rattle, a knock, or a squeal). What noise do you hear? Chirp - High pitched rapidly repeating sound, like birds chirping. When do you hear the chirp? When I accelerate. Where do you hear the chirp when you accelerate? I'm not sure.",Loose or Worn Drive Belt
"If you're not sure what the problem is, start by describing the symptoms: See - I see it (i.e. oil leak, warning light, or smoke). What do you see? Smoke. Where is the smoke coming from? Exhaust. What color is the smoke? Blue.",Worn Valve Stem Seals
"If you're not sure what the problem is, start by describing the symptoms: See - I see it (i.e. oil leak, warning light, or smoke). What do you see? Smoke. Where is the smoke coming from? Exhaust. What color is the smoke? Black.",Rich Fuel Mixture
"If you're not sure what the problem is, start by describing the symptoms: See - I see it (i.e. oil leak, warning light, or smoke). What do you see? Smoke. Where is the smoke coming from? Exhaust. What color is the smoke? White.",Blown Head Gasket
"If you're not sure what the problem is, start by describing the symptoms: See - I see it (i.e. oil leak, warning light, or smoke). What do you see? Smoke. Where is the smoke coming from? Exhaust. What color is the smoke? White.",Intake Manifold Gasket Leak
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Front tires are wearing on the outside edge.",Wheels out of Alignment
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Front tires are wearing on the outside edge.",Unequal Front Tire Pressure
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Front tires are wearing on the inside edge.",Lack of Tire Rotation
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Front tires are wearing on the inside edge.",Negative Camber
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Front tires are wearing on the inside edge.",Low Tire Pressure
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Tires wearing on both edges.",Lack of Tire Rotation
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Tires wearing on both edges.",Low Tire Pressure
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Feathered.",Worn Tie Rods
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Feathered.",Wheel Aligment (Toe)
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Tires wearing in the middle.",Lack of Tire Rotation
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Tires wearing in the middle.",Over-Inflated Tires
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Flat spots, cupping or various wear all over tire.",Worn Out Shocks/Struts
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Flat spots, cupping or various wear all over tire.",Wheels Out of Balance
"If you know what is wrong, start by selecting it: Tires & Wheels. Are you having a problem with your wheels or tires? Tires. What do you notice about your tires? Abnormal tire wear. What type of abnormal tire wear are you having? Flat spots, cupping or various wear all over tire.",High/Low Tire Pressure
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? All wheel drive. What is the problem you are having with your AWD? Making noise. What type of noise is your AWD unit making? Grinding.",Internal Trasnfer Case Failure
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? All wheel drive. What is the problem you are having with your AWD? Making noise. What type of noise is your AWD unit making? Whining.",Internal Trasnfer Case Failure
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? All wheel drive. What is the problem you are having with your AWD? Making noise. What type of noise is your AWD unit making? Whining.",Low Trasfer Case Fluid
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? All wheel drive. What is the problem you are having with your AWD? Making noise. What type of noise is your AWD unit making? Popping.",Internal Trasnfer Case Failure
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? 4 wheel drive. What area of your 4wd are you having problems with? Transfer case noise. What kind of noise do you hear coming from your transfer case? Clunking or popping noise.",Internal Transfer Case (Damage)
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? 4 wheel drive. What area of your 4wd are you having problems with? Transfer case noise. What kind of noise do you hear coming from your transfer case? Whining.",Internal gears worn
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? 4 wheel drive. What area of your 4wd are you having problems with? Transfer case noise. What kind of noise do you hear coming from your transfer case? Whining.",Low Trasfer Case Fluid
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? 4 wheel drive. What area of your 4wd are you having problems with? Transfer case noise. What kind of noise do you hear coming from your transfer case? Grinding noise.",Transfer Case (Chain Contact)
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? 4 wheel drive. What area of your 4wd are you having problems with? Transfer case noise. What kind of noise do you hear coming from your transfer case? Grinding noise.",Low Trasfer Case Fluid
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? 4 wheel drive. What area of your 4wd are you having problems with? Transfer case malfunction. What aspect of your transfer case is not working? Will not engage front wheels.",Internal Trasnfer Case Failure
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? 4 wheel drive. What area of your 4wd are you having problems with? Transfer case malfunction. What aspect of your transfer case is not working? Will not engage front wheels.",Faulty Front Wheel Locking Hubs
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? 4 wheel drive. What area of your 4wd are you having problems with? Transfer case malfunction. What aspect of your transfer case is not working? Will not shift out of gear.",Transfer Case Linkage (Mis-Alignment)
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? 4 wheel drive. What area of your 4wd are you having problems with? Leaking oil. What part of your transfer case is leaking? Rear output seal.",Worn Rear Transfer Case Output Seal
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? 4 wheel drive. What area of your 4wd are you having problems with? Leaking oil. What part of your transfer case is leaking? Input seal.",Worn Transfer Case Input Seal
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is disengaged (when the vehicle is not in gear). What happens when the manual transmission is disengaged? Lubricant leaking.",Damaged Shifter Seals
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is disengaged (when the vehicle is not in gear). What happens when the manual transmission is disengaged? Lubricant leaking.",Gasket Leak
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is disengaged (when the vehicle is not in gear). What happens when the manual transmission is disengaged? Lubricant leaking.",Over-filled Lubricant Level
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is disengaged (when the vehicle is not in gear). What happens when the manual transmission is disengaged? Transmission hard to shift.",Worn/Bent Shift Linkage
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is disengaged (when the vehicle is not in gear). What happens when the manual transmission is disengaged? Transmission hard to shift.",Bent Shift Fork
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is disengaged (when the vehicle is not in gear). What happens when the manual transmission is disengaged? Transmission hard to shift.",Low Lubricant Level
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is disengaged (when the vehicle is not in gear). What happens when the manual transmission is disengaged? Abnormal transmission noise.",Low Lubricant Level
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is disengaged (when the vehicle is not in gear). What happens when the manual transmission is disengaged? Abnormal transmission noise.",Contaminated lubricant
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is disengaged (when the vehicle is not in gear). What happens when the manual transmission is disengaged? Abnormal transmission noise.",Worn Pilot Bearing
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Transmission locked in gear.",Bent Shift Fork
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Transmission locked in gear.",Worn/Bent Shift Linkage
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Transmission makes noise.",ATF Fluid Inspection
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Transmission makes noise.",Internal Transmission Failure (Bearings/Gears)
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Gears clash or grind when shifting.",Low Lubricant Level
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Gears clash or grind when shifting.",Clutch Linkage Misaligned
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Lubricant leaking.",Damaged Shifter Seals
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Lubricant leaking.",Gasket Leak
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Lubricant leaking.",Over-filled Lubricant Level
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Transmission jumps out of gear.",Bent Shift Fork
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Transmission jumps out of gear.",Manual Transmission Failure (Worn Synchronizer Teeth)
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? When the transmission is engaged (when the vehicle is in gear). What happens when the manual transmission is engaged? Transmission jumps out of gear.",Worn/Bent Shift Linkage
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? Hard clutch pedal effort.",Manual Transmission Clutch Pedal (Excessive Friction)
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? Hard clutch pedal effort.",Manual Transmission Clutch Inspect (Over-center Spring)
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? The clutch pedal chatters (grabbing feeling).",Warped Pressure Plate/Flywheel
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? The clutch pedal chatters (grabbing feeling).",Worn Engine Mounts
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? The clutch pedal chatters (grabbing feeling).",Burned/Glazed Clutch Disc
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? No pedal return (clutch pedal stays on floor after depressed).",Worn Clutch Pressure Plate Springs
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? No pedal return (clutch pedal stays on floor after depressed).",Binding In the Clutch Linkage
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? Pulsating clutch pedal.",Warped Flywheel
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? The clutch will not disengage.",Warped Clutch Disc
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? Abnormal clutch noise.",Worn Pilot Bearing
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? Abnormal clutch noise.",Rusted Clutch Linkage
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? Abnormal clutch noise.",Worn Release Bearing (Noise)
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? Clutch slips.",Worn Clutch Disc Surface
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? Clutch slips.",Worn Clutch Pressure Plate Springs
"If you know what is wrong, start by selecting it: Transmission. What type of transmission do you have? Manual Transmission. Where do you notice your manual transmission problem? Clutch area. Which option best describes your clutch problem? Clutch slips.",Clutch Pedal Free Play
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Right Side (Passenger). What area is damaged on the right side of your vehicle? Rear Door. What part of the rear door is damaged? Window Belt Strip.",Damaged Window Belt Strip
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Right Side (Passenger). What area is damaged on the right side of your vehicle? Rear Door. What part of the rear door is damaged? Window Run Channel.",Damaged run channel
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Right Side (Passenger). What area is damaged on the right side of your vehicle? Front Door. What part of the front door is damaged? Window Run Channel.",Damaged run channel
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Right Side (Passenger). What area is damaged on the right side of your vehicle? Front Door. What part of the front door is damaged? Window Belt Strip.",Damaged Window Belt Strip
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Right Side (Passenger). What area is damaged on the right side of your vehicle? Fender. What Part of the fender is damaged? Fender Trim.",Damaged Fender Trim
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Right Side (Passenger). What area is damaged on the right side of your vehicle? Fender. What Part of the fender is damaged? Fender Liner.",Damaged fender liner
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Right Side (Passenger). What area is damaged on the right side of your vehicle? Fender. What Part of the fender is damaged? Mud Guard/Protector.",Damaged mud flap (mud guard)
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Right Side (Passenger). What area is damaged on the right side of your vehicle? Fender. What Part of the fender is damaged? Fender.",Damaged Front Fender
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Right Side (Passenger). What area is damaged on the right side of your vehicle? Fender. What Part of the fender is damaged? Antenna Mast.",Damaged Antenna Mast
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Rear. What area is damaged on the rear of your vehicle? Rear bumper cover (also includes absorber, reinforcement, License bracket, side supports, reverse sensors, backup camera). What part on the rear cover of your vehicle looks damaged? Energy Absorber.",Damaged energy absorber
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Rear. What area is damaged on the rear of your vehicle? Rear bumper cover (also includes absorber, reinforcement, License bracket, side supports, reverse sensors, backup camera). What part on the rear cover of your vehicle looks damaged? Bumper.",Damaged rear bumper cover
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Rear. What area is damaged on the rear of your vehicle? Rear bumper cover (also includes absorber, reinforcement, License bracket, side supports, reverse sensors, backup camera). What part on the rear cover of your vehicle looks damaged? Rear step bumper.",Damaged rear step bumper
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Rear. What area is damaged on the rear of your vehicle? Rear bumper cover (also includes absorber, reinforcement, License bracket, side supports, reverse sensors, backup camera). What part on the rear cover of your vehicle looks damaged? Reinforcement.",Damaged bumper reinforcement
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Hood (includes; lock, supports, hinges, insulator). What part of the Hood is Damaged? Insulator.",Damaged hood insulator
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Hood (includes; lock, supports, hinges, insulator). What part of the Hood is Damaged? Hood.",Replace hood
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Hood (includes; lock, supports, hinges, insulator). What part of the Hood is Damaged? Hood.",Repair hood
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Hood (includes; lock, supports, hinges, insulator). What part of the Hood is Damaged? Hinge.",Damaged hinge
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Hood (includes; lock, supports, hinges, insulator). What part of the Hood is Damaged? Lock assembly.",Damaged Hood lock assembly
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Grille. What part is damaged on your grille? Grille.",Damaged Grille
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Grille. What part is damaged on your grille? Grille insert.",Damaged Grille Insert
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Front. What area is damaged on the front of your vehicle? Front Lamps (includes; Headlamps, signal lamps, fog lamps, etc.). Turn Signal Assembly.",Turn Signal Lens Assembly (Damaged)
