ID,Describing the Symptoms,assuring,diagnosing symptom,Specific Answer,Asks,Symptom,Ask1,Symptom1,Ask2,Symptom2,Description,InspectionList,Car Problem
10,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,2) Disable the fuel pump and relieve the fuel system pressure.,Fuel Rail/Fuel Pressure Regulator Leak
11,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,3) Disconnect the fuel line and install a fuel pressure gauge. Reconnect the fuse to the fuel pump.,Fuel Rail/Fuel Pressure Regulator Leak
12,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,4) Start the engine and check for leakage around the gauge connections.,Fuel Rail/Fuel Pressure Regulator Leak
13,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,5) Disconnect the vacuum hose from the fuel pressure regulator and attach a hand held vacuum pump to the port on the fuel pressure regulator.,Fuel Rail/Fuel Pressure Regulator Leak
14,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"6) Read the fuel pressure gauge when a vacuum is applied to the fuel pressure regulator and when no vacuum is applied. The fuel pressure should decrease as vacuum increases, and increase as vacuum decreases. Compare your readings with the values in the vehicles specifications.",Fuel Rail/Fuel Pressure Regulator Leak
15,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"7) Reconnect the vacuum hose to the regulator and check the fuel pressure at idle, comparing your reading with the value in the vehicles specifications. Disconnect the vacuum hose and watch the gauge €“ the pressure should jump up as soon as the hose is disconnected. If it doesnt, proceed to step 8.",Fuel Rail/Fuel Pressure Regulator Leak
16,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"8) If the fuel pressure is low, pinch the fuel return line shut and watch the gauge. If the pressure doesnt rise, the fuel pump is defective or there is a restriction in the fuel feed line. If the pressure rises sharply, replace the fuel pressure regulator.",Fuel Rail/Fuel Pressure Regulator Leak
17,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"9) If the fuel pressure is too high, turn the engine off. Disconnect the fuel return line and blow through it to check for a blockage. If there is no blockage, replace the fuel pressure regulator.",Fuel Rail/Fuel Pressure Regulator Leak
18,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"10) Connect a vacuum gauge to the fuel pressure regulator vacuum hose. Start the engine and check for vacuum. If there isnt a vacuum present, check for a clogged hose or vacuum port. If the amount of vacuum is adequate, replace the fuel pressure regulator.",Fuel Rail/Fuel Pressure Regulator Leak
19,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.",1) Open the hood and locate the fuel injector rails.,Fuel Injector Leak
20,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.",2) The fuel injectors are commonly located above the engine block and on the sides. They can be found near the intake manifold or within the same proximity as the spark plugs.,Fuel Injector Leak
21,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.",3) Hook up the fuel injector tester to the Schrader valve on the fuel line.,Fuel Injector Leak
22,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.",4) Turn the key to the ON position and allow the fuel pump to build pressure in the system. Do NOT start the vehicle. You will hear the fuel pump run and prime the system.,Fuel Injector Leak
23,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.",5) Press the €œtest€ button on the fuel injector tester and allow it to pulsate the fuel injector for the needed amount of time.,Fuel Injector Leak
24,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.",6) Repeat this for each fuel injector and write down the pressure indicated by the tester for each.,Fuel Injector Leak
25,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.","7) After all the fuel injectors have been tested and you have pressure readings, find the average reading for all the fuel injectors. Add all the readings together, then divide by the number of fuel injectors in the engine.",Fuel Injector Leak
26,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Engine Compartment,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.","8) Compare each original fuel injector PSI reading to the average PSI reading. If you have fuel injectors that are above OR below 1.5 PSI of the average, they are faulty and will need replacement.",Fuel Injector Leak
27,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,Some fuel tanks are made out of metal and are susceptible to rust and corrosion. They can develop soft spots and begin to leak.,"1) Locate the vehicles fuel tank. In most vehicles, the fuel tank is located underneath the rear of the vehicle. It is best identified as a large container strapped to the bottom of the vehicle.",Fuel Tank Leak
28,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,Some fuel tanks are made out of metal and are susceptible to rust and corrosion. They can develop soft spots and begin to leak.,"2) Once the fuel tank is located, use a flashlight and inpsect the entire area underneath the unit. Check for moisture and fuel spots.",Fuel Tank Leak
29,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,Some fuel tanks are made out of metal and are susceptible to rust and corrosion. They can develop soft spots and begin to leak.,3) The fuel tank also has fuel lines that are routed to the top. Inspect the fuel lines and make sure they are not leaking.,Fuel Tank Leak
30,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,Some fuel tanks are made out of metal and are susceptible to rust and corrosion. They can develop soft spots and begin to leak.,"4) If there are leaks suspected, it will be necessary to replace the entire fuel tank unit.",Fuel Tank Leak
31,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,"Fuel pump assemblies are constantly operating to supply the correct amount of fuel pressure to keep the vehicle running properly. Normal wear shortens the lifespan of the fuel pump assembly. The fuel keeps the fuel pump lubricated and cooled, so running a fuel pump with low or no gas and starving it from fluid may lead to overheating and eventually burn the fuel pump out.",1) Most late model vehicles use an electronic submersible fuel pump; this means it is located inside the fuel tank. The first step to take is remove the gas cap from the vehicle.,Fuel Pump Assembly Failure
32,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,"Fuel pump assemblies are constantly operating to supply the correct amount of fuel pressure to keep the vehicle running properly. Normal wear shortens the lifespan of the fuel pump assembly. The fuel keeps the fuel pump lubricated and cooled, so running a fuel pump with low or no gas and starving it from fluid may lead to overheating and eventually burn the fuel pump out.","2) Always check all the fuel lines leading to the engine from the gas tank. Check the gas tank, fuel cap, fuel filter along with the clamps or clips holding the fuel lines in place. Fuel has a strong odor, which may help in pin pointing a fuel leak.",Fuel Pump Assembly Failure
33,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,"Fuel pump assemblies are constantly operating to supply the correct amount of fuel pressure to keep the vehicle running properly. Normal wear shortens the lifespan of the fuel pump assembly. The fuel keeps the fuel pump lubricated and cooled, so running a fuel pump with low or no gas and starving it from fluid may lead to overheating and eventually burn the fuel pump out.","3) Next, have an assistant cycle the ignition. Cycling means having them turn the key to the ""ON"" position, which is the last click in the ignition before the vehicle start position.",Fuel Pump Assembly Failure
34,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,"Fuel pump assemblies are constantly operating to supply the correct amount of fuel pressure to keep the vehicle running properly. Normal wear shortens the lifespan of the fuel pump assembly. The fuel keeps the fuel pump lubricated and cooled, so running a fuel pump with low or no gas and starving it from fluid may lead to overheating and eventually burn the fuel pump out.","4) While the ignition key is being cycled,  listen closely near the gas filler, where the fuel cap was removed. A humming or hissing sound should be heard for about 2-4 seconds, then stop. This sound is the electronic fuel pump sending fuel to the engine. Every time the key is turned to the ""ON"" position a sound should be heard coming from the fuel pump.",Fuel Pump Assembly Failure
35,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,"Fuel pump assemblies are constantly operating to supply the correct amount of fuel pressure to keep the vehicle running properly. Normal wear shortens the lifespan of the fuel pump assembly. The fuel keeps the fuel pump lubricated and cooled, so running a fuel pump with low or no gas and starving it from fluid may lead to overheating and eventually burn the fuel pump out.","5) If there is no audible sound coming from the fuel pump, check the fuel pump relay and wiring leading to the unit. Perform a Voltage test as well, which may determine if the pump has failed.",Fuel Pump Assembly Failure
36,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,"Fuel filters get dirty and clogged over time. Dirt in the tank, dirty fuel and the natural break down of the fuel lines can clog your fuel filter and obstruct the flow of fuel to your vehicles engine.",1) Open the hood and locate the fuel filter. In vehicles with fuel injection the fuel filter could be located near the tank. To locate the fuel filter follow the fuel line from the tank to the engine until you find the fuel filter.,Fuel Filter Leak
37,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,"Fuel filters get dirty and clogged over time. Dirt in the tank, dirty fuel and the natural break down of the fuel lines can clog your fuel filter and obstruct the flow of fuel to your vehicles engine.",2) Inspect the fuel filter to see if it is clogged.,Fuel Filter Leak
38,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,All the time,Can you pinpoint where the odor is coming from?,Rear of the Vehicle,,,"Fuel filters get dirty and clogged over time. Dirt in the tank, dirty fuel and the natural break down of the fuel lines can clog your fuel filter and obstruct the flow of fuel to your vehicles engine.","3) Since the fuel filter case is not see-through, you will need to remove it from the fuel line and drain the fuel from the fuel filter into a container and inspect the condition of the fuel.",Fuel Filter Leak
39,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"1) Open the hood and locate the fuel pressure regulator. The fuel pressure regulator is commonly found on the fuel rail, which is mounted on top of the engine around the same location as the intake manifold.",Fuel Rail/Fuel Pressure Regulator Leak
40,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,2) Disable the fuel pump and relieve the fuel system pressure.,Fuel Rail/Fuel Pressure Regulator Leak
41,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,3) Disconnect the fuel line and install a fuel pressure gauge. Reconnect the fuse to the fuel pump.,Fuel Rail/Fuel Pressure Regulator Leak
42,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,4) Start the engine and check for leakage around the gauge connections.,Fuel Rail/Fuel Pressure Regulator Leak
43,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,5) Disconnect the vacuum hose from the fuel pressure regulator and attach a hand held vacuum pump to the port on the fuel pressure regulator.,Fuel Rail/Fuel Pressure Regulator Leak
44,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"6) Read the fuel pressure gauge when a vacuum is applied to the fuel pressure regulator and when no vacuum is applied. The fuel pressure should decrease as vacuum increases, and increase as vacuum decreases. Compare your readings with the values in the vehicles specifications.",Fuel Rail/Fuel Pressure Regulator Leak
45,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"7) Reconnect the vacuum hose to the regulator and check the fuel pressure at idle, comparing your reading with the value in the vehicles specifications. Disconnect the vacuum hose and watch the gauge €“ the pressure should jump up as soon as the hose is disconnected. If it doesnt, proceed to step 8.",Fuel Rail/Fuel Pressure Regulator Leak
46,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"8) If the fuel pressure is low, pinch the fuel return line shut and watch the gauge. If the pressure doesnt rise, the fuel pump is defective or there is a restriction in the fuel feed line. If the pressure rises sharply, replace the fuel pressure regulator.",Fuel Rail/Fuel Pressure Regulator Leak
47,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"9) If the fuel pressure is too high, turn the engine off. Disconnect the fuel return line and blow through it to check for a blockage. If there is no blockage, replace the fuel pressure regulator.",Fuel Rail/Fuel Pressure Regulator Leak
48,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,Fuel Leaks within the fuel pressure regualator unit and a dirty fuel system will cause the fuel pressure regulator to fail.,"10) Connect a vacuum gauge to the fuel pressure regulator vacuum hose. Start the engine and check for vacuum. If there isnt a vacuum present, check for a clogged hose or vacuum port. If the amount of vacuum is adequate, replace the fuel pressure regulator.",Fuel Rail/Fuel Pressure Regulator Leak
49,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.",1) Open the hood and locate the fuel injector rails.,Fuel Injector Leak
50,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.",2) The fuel injectors are commonly located above the engine block and on the sides. They can be found near the intake manifold or within the same proximity as the spark plugs.,Fuel Injector Leak
51,"If you're not sure what the problem is, start by describing the symptoms:","Smell - I smell it (i.e. gasoline, rotten eggs, or burning oil)",What odor do you smell?,Gasoline,When does the odor occur?,"Only when engine is running, idling.",Can you pinpoint where the odor is coming from?,Inside the vehicle when the heat or A/C is turned on.,,,"Clogged fuel injectors are caused by dirt in the fuel system. If dirt gets past the fuel filter and into the fuel injectors, they will become plugged and prevent fuel from reaching the combustion chamber.",3) Hook up the fuel injector tester to the Schrader valve on the fuel line.,Fuel Injector Leak
