,,,,,,,,,,,,,,,,,,Transfer case noise,,,Hinge
,,,,,,,,,,,,,,,,,,Driveshaft problem,,,Lock assembly
,,,,,,,,,,,,,,,,,,Transfer case malfunction,,,Grille
,,,,,,,,,,,,,,,,,,Leaking oil,,,Grille insert
,,,,,,,,,,,,,,,,,,Transmission has a hard upshift,,,Turn Signal Assembly
,,,,,,,,,,,,,,,,,,Harsh shifts (car jerks when it upshifts),,,Headlight Assembly
,,,,,,,,,,,,,,,,,,Harsh engagement (Car jerks when shifted into gear),,,Headlight Door
,,,,,,,,,,,,,,,,,,There is a growling or grinding noise,,,Headlight Cover
,,,,,,,,,,,,,,,,,,Delayed engagement (Car does not respond immediately when shifted into gear),,,Side Marker Light
,,,,,,,,,,,,,,,,,,There is a clunking noise when the transmission is shifting gears,,,Fog Light
,,,,,,,,,,,,,,,,,,Transmission slips between shifts (engine revs),,,Cornering Light
,,,,,,,,,,,,,,,,,,Transmission will not downshift while passing,,,Parking Light Assembly
,,,,,,,,,,,,,,,,,,When the transmission is disengaged (when the vehicle is not in gear),,,Front bumper
,,,,,,,,,,,,,,,,,,When the transmission is engaged (when the vehicle is in gear),,,License plate brackets
,,,,,,,,,,,,,,,,,,Clutch area,,,Bumper Braket or Side supports
,,,,,,,,,,,,,,,,,,Rear Door,,,Bumper trim
,,,,,,,,,,,,,,,,,,Front Door,,,Front end cover
,,,,,,,,,,,,,,,,,,Fender,,,Valance
,,,,,,,,,,,,,,,,,,Rear body panel,,,Spoiler
,,,,,,,,,,,,,,,,,,"Rear bumper cover (also includes absorber, reinforcement, License bracket, side supports, reverse sensors, backup camera)",,,Header panel
,,,,,,,,,,,,,,,,,,Trunk will not stay open by itself,,,Radiator support
,,,,,,,,,,,,,,,,,,Spoiler,,,Cooling Fan Shroud
,,,,,,,,,,,,,,,,,,Rear Fender,,,Yes
,,,,,,,,,,,,,,,,,,Tailgate,,,No
,,,,,,,,,,,,,,,,,,Emblem,,,The windows are working from their individual switch but not the master switch or vice versa
,,,,,,,,,,,,,,,,,,Metal Front Bumper,,,All of the power windows are not going up or down
,,,,,,,,,,,,,,,,,,"Hood (includes; lock, supports, hinges, insulator)",,,The two rear windows are not going up or down
,,,,,,,,,,,,,,,,,,Grille,,,
,,,,,,,,,,,,,,,,,,"Front Lamps (includes; Headlamps, signal lamps, fog lamps, etc.)",,,
,,,,,,,,,,,,,,,,,,"Fascia (Front cover) (also includes absorber, reinforcement, License bracket,side supports, sensors, valance, spoiler)",,,
,,,,,,,,,,,,,,,,,,"Radiator support ( includes; core support, tie bars, splash shields)",,,
,,,,,,,,,,,,,,,,,,One or both power mirrors are not moving or are making a clicking sound when moving.,,,
,,,,,,,,,,,,,,,,,,Both power mirrors are not moving,,,
,,,,,,,,,,,,,,,,,,Multiple windows are not going up or down,,,
,,,,,,,,,,,,,,,,,,The window is moving up and down very slowly,,,
,,,,,,,,,,,,,,,,,,The window is moving up and down at an angle,,,
,,,,,,,,,,,,,,,,,,One window is not going up or down,,,
